25.11.19 - 09:24:10 # Inicializace logu pro monitorovani site...
25.11.19 - 09:24:13 # Received Connection from client!
25.11.19 - 09:24:13 # 25/11/19 - 09:24:13 - client connected - 192.168.50.146

25.11.19 - 09:24:18 # Network connectivity full - error
25.11.19 - 09:24:19 # Network connectivity full - error
25.11.19 - 09:24:20 # Network connectivity full - error
25.11.19 - 09:24:21 # Network connectivity full - error
25.11.19 - 09:24:22 # Network connectivity full - error
25.11.19 - 09:24:23 # Network connectivity full - error
25.11.19 - 09:24:24 # Network connectivity full - error
25.11.19 - 09:24:25 # Network connectivity full - error
25.11.19 - 09:24:26 # Network connectivity full - error
25.11.19 - 09:24:27 # Network connectivity full - error
25.11.19 - 09:24:28 # Network connectivity full - error
25.11.19 - 09:24:29 # Network connectivity full - error
25.11.19 - 09:24:30 # Network connectivity full - error
25.11.19 - 09:24:31 # Network connectivity full - error
25.11.19 - 09:24:32 # Network connectivity full - error
25.11.19 - 09:24:33 # Network connectivity full - error
25.11.19 - 09:24:34 # Network connectivity full - error
25.11.19 - 09:24:35 # Network connectivity full - error
25.11.19 - 09:24:36 # Network connectivity full - error
25.11.19 - 09:24:37 # Network connectivity full - error
25.11.19 - 09:24:38 # Network connectivity full - error
25.11.19 - 09:24:39 # Network connectivity full - error
25.11.19 - 09:24:40 # Network connectivity full - error
25.11.19 - 09:24:41 # Network connectivity full - error
25.11.19 - 09:24:42 # Network connectivity full - error
25.11.19 - 09:24:43 # Network connectivity full - error
25.11.19 - 09:24:44 # Network connectivity full - error
25.11.19 - 09:24:45 # Network connectivity full - error
25.11.19 - 09:24:46 # Network connectivity full - error
25.11.19 - 09:24:47 # Network connectivity full - error
25.11.19 - 09:24:48 # Network connectivity full - error
25.11.19 - 09:24:49 # Network connectivity full - error
25.11.19 - 09:24:50 # Network connectivity full - error
25.11.19 - 09:24:51 # Network connectivity full - error
25.11.19 - 09:24:52 # Network connectivity full - error
25.11.19 - 09:24:53 # Network connectivity full - error
25.11.19 - 09:24:54 # Network connectivity full - error
25.11.19 - 09:24:55 # Network connectivity full - error
25.11.19 - 09:24:56 # Network connectivity full - error
25.11.19 - 09:24:57 # Network connectivity full - error
25.11.19 - 09:24:58 # Network connectivity full - error
25.11.19 - 09:24:59 # Network connectivity full - error
25.11.19 - 09:25:00 # Network connectivity full - error
25.11.19 - 09:25:01 # Network connectivity full - error
25.11.19 - 09:25:02 # Network connectivity full - error
25.11.19 - 09:25:03 # Network connectivity full - error
25.11.19 - 09:25:04 # Network connectivity full - error
25.11.19 - 09:25:05 # Network connectivity full - error
25.11.19 - 09:25:06 # Network connectivity full - error
25.11.19 - 09:25:07 # Network connectivity full - error
25.11.19 - 09:25:08 # Network connectivity full - error
25.11.19 - 09:25:09 # Network connectivity full - error
25.11.19 - 09:25:10 # Network connectivity full - error
25.11.19 - 09:25:11 # Network connectivity full - error
25.11.19 - 09:25:12 # Network connectivity full - error
25.11.19 - 09:25:13 # Network connectivity full - error
25.11.19 - 09:25:14 # Network connectivity full - error
25.11.19 - 09:25:15 # Network connectivity full - error
25.11.19 - 09:25:16 # Network connectivity full - error
25.11.19 - 09:25:17 # Network connectivity full - error
25.11.19 - 09:25:18 # Network connectivity full - error
25.11.19 - 09:25:19 # Network connectivity full - error
25.11.19 - 09:25:20 # Network connectivity full - error
25.11.19 - 09:25:21 # Network connectivity full - error
25.11.19 - 09:25:22 # Network connectivity full - error
25.11.19 - 09:25:23 # Network connectivity full - error
25.11.19 - 09:25:24 # Network connectivity full - error
25.11.19 - 09:25:25 # Network connectivity full - error
25.11.19 - 09:25:26 # Network connectivity full - error
25.11.19 - 09:25:27 # Network connectivity full - error
25.11.19 - 09:25:28 # Network connectivity full - error
25.11.19 - 09:25:29 # Network connectivity full - error
25.11.19 - 09:25:30 # Network connectivity full - error
25.11.19 - 09:25:31 # Network connectivity full - error
25.11.19 - 09:25:32 # Network connectivity full - error
25.11.19 - 09:25:33 # Network connectivity full - error
25.11.19 - 09:25:34 # Network connectivity full - error
25.11.19 - 09:25:35 # Network connectivity full - error
25.11.19 - 09:25:36 # Network connectivity full - error
25.11.19 - 09:25:37 # Network connectivity full - error
25.11.19 - 09:25:38 # Network connectivity full - error
25.11.19 - 09:25:39 # Network connectivity full - error
25.11.19 - 09:25:40 # Network connectivity full - error
25.11.19 - 09:25:41 # Network connectivity full - error
25.11.19 - 09:25:42 # Network connectivity full - error
25.11.19 - 09:25:43 # Network connectivity full - error
25.11.19 - 09:25:44 # Network connectivity full - error
25.11.19 - 09:25:45 # Network connectivity full - error
25.11.19 - 09:25:46 # Network connectivity full - error
25.11.19 - 09:25:47 # Network connectivity full - error
25.11.19 - 09:25:48 # Network connectivity full - error
25.11.19 - 09:25:49 # Network connectivity full - error
25.11.19 - 09:25:50 # Network connectivity full - error
25.11.19 - 09:25:51 # Network connectivity full - error
25.11.19 - 09:25:52 # Network connectivity full - error
25.11.19 - 09:25:53 # Network connectivity full - error
25.11.19 - 09:25:54 # Network connectivity full - error
25.11.19 - 09:25:55 # Network connectivity full: 25/11/19 - 09:25:55 - client disconnected - 192.168.50.146
25.11.19 - 09:26:02 # Received Connection from client!
25.11.19 - 09:26:02 # 25/11/19 - 09:26:02 - client connected - 192.168.50.146

25.11.19 - 09:26:07 # Network connectivity full - ok
25.11.19 - 09:26:08 # Network connectivity full - ok
25.11.19 - 09:26:09 # Network connectivity full - ok
25.11.19 - 09:26:10 # Network connectivity full - ok
25.11.19 - 09:26:11 # Network connectivity full - ok
25.11.19 - 09:26:12 # Network connectivity full - ok
25.11.19 - 09:26:13 # Network connectivity full - ok
25.11.19 - 09:26:14 # Network connectivity full - ok
25.11.19 - 09:26:15 # Network connectivity full - ok
25.11.19 - 09:26:16 # Network connectivity full - ok
25.11.19 - 09:26:17 # Network connectivity full - ok
25.11.19 - 09:26:18 # Network connectivity full - ok
25.11.19 - 09:26:19 # Network connectivity full - ok
25.11.19 - 09:26:20 # Network connectivity full - ok
25.11.19 - 09:26:21 # Network connectivity full - ok
25.11.19 - 09:26:22 # Network connectivity full - ok
25.11.19 - 09:26:23 # Network connectivity full - ok
25.11.19 - 09:26:24 # Network connectivity full - ok
25.11.19 - 09:26:25 # Network connectivity full - ok
25.11.19 - 09:26:26 # Network connectivity full - ok
25.11.19 - 09:26:27 # Network connectivity full - ok
25.11.19 - 09:26:28 # Network connectivity full - ok
25.11.19 - 09:26:29 # Network connectivity full - ok
25.11.19 - 09:26:30 # Network connectivity full - ok
25.11.19 - 09:26:31 # Network connectivity full - ok
25.11.19 - 09:26:32 # Network connectivity full - ok
25.11.19 - 09:26:33 # Network connectivity full - ok
25.11.19 - 09:26:34 # Network connectivity full - ok
25.11.19 - 09:26:35 # Network connectivity full - ok
25.11.19 - 09:26:36 # Network connectivity full - ok
25.11.19 - 09:26:37 # Network connectivity full - ok
25.11.19 - 09:26:38 # Network connectivity full - ok
25.11.19 - 09:26:39 # Network connectivity full - ok
25.11.19 - 09:26:40 # Network connectivity full - ok
25.11.19 - 09:26:41 # Network connectivity full - ok
25.11.19 - 09:26:42 # Network connectivity full - ok
25.11.19 - 09:26:43 # Network connectivity full - ok
25.11.19 - 09:26:44 # Network connectivity full - ok
25.11.19 - 09:26:45 # Network connectivity full - ok
25.11.19 - 09:26:46 # Network connectivity full - ok
25.11.19 - 09:26:47 # Network connectivity full - ok
25.11.19 - 09:26:48 # Network connectivity full - ok
25.11.19 - 09:26:49 # Network connectivity full - ok
25.11.19 - 09:26:50 # Network connectivity full - ok
25.11.19 - 09:26:51 # Network connectivity full - ok
25.11.19 - 09:26:52 # Network connectivity full - ok
25.11.19 - 09:26:53 # Network connectivity full - ok
25.11.19 - 09:26:54 # Network connectivity full - ok
25.11.19 - 09:26:55 # Network connectivity full - ok
25.11.19 - 09:26:56 # Network connectivity full - ok
25.11.19 - 09:26:57 # Network connectivity full - ok
25.11.19 - 09:26:58 # Network connectivity full - ok
25.11.19 - 09:26:59 # Network connectivity full - ok
25.11.19 - 09:27:00 # Network connectivity full - ok
25.11.19 - 09:27:01 # Network connectivity full - ok
25.11.19 - 09:27:02 # Network connectivity full - ok
25.11.19 - 09:27:03 # Network connectivity full - ok
25.11.19 - 09:27:04 # Network connectivity full - ok
25.11.19 - 09:27:05 # Network connectivity full - ok
25.11.19 - 09:27:06 # Network connectivity full - ok
25.11.19 - 09:27:07 # Network connectivity full - ok
25.11.19 - 09:27:08 # Network connectivity full - ok
25.11.19 - 09:27:09 # Network connectivity full - ok
25.11.19 - 09:27:10 # Network connectivity full - ok
25.11.19 - 09:27:11 # Network connectivity full - ok
25.11.19 - 09:27:12 # Network connectivity full - ok
25.11.19 - 09:27:13 # Network connectivity full - ok
25.11.19 - 09:27:14 # Network connectivity full - ok
25.11.19 - 09:27:15 # Network connectivity full - ok
25.11.19 - 09:27:16 # Network connectivity full - ok
25.11.19 - 09:27:17 # Network connectivity full - ok
25.11.19 - 09:27:18 # Network connectivity full - ok
25.11.19 - 09:27:19 # Network connectivity full - ok
25.11.19 - 09:27:20 # Network connectivity full - ok
25.11.19 - 09:27:21 # Network connectivity full - ok
25.11.19 - 09:27:22 # Network connectivity full - ok
25.11.19 - 09:27:22 # Network connectivity full: 25/11/19 - 09:27:22 - client disconnected - 192.168.50.146
25.11.19 - 09:27:27 # Received Connection from client!
25.11.19 - 09:27:27 # 25/11/19 - 09:27:27 - client connected - 192.168.50.146

25.11.19 - 09:27:32 # Network connectivity full - ok
25.11.19 - 09:27:33 # Network connectivity full - ok
25.11.19 - 09:27:34 # Network connectivity full - ok
25.11.19 - 09:27:35 # Network connectivity full - ok
25.11.19 - 09:27:36 # Network connectivity full - ok
25.11.19 - 09:27:37 # Network connectivity full - ok
25.11.19 - 09:27:38 # Network connectivity full - ok
25.11.19 - 09:27:39 # Network connectivity full - ok
25.11.19 - 09:27:40 # Network connectivity full - ok
25.11.19 - 09:27:41 # Network connectivity full - ok
25.11.19 - 09:27:42 # Network connectivity full - ok
25.11.19 - 09:27:43 # Network connectivity full - ok
25.11.19 - 09:27:44 # Network connectivity full - ok
25.11.19 - 09:27:45 # Network connectivity full - ok
25.11.19 - 09:27:46 # Network connectivity full - ok
25.11.19 - 09:27:47 # Network connectivity full - ok
25.11.19 - 09:27:48 # Network connectivity full - ok
25.11.19 - 09:27:49 # Network connectivity full - ok
25.11.19 - 09:27:50 # Network connectivity full: 25/11/19 - 09:27:50 - client disconnected - 192.168.50.146
25.11.19 - 09:27:52 # Received Connection from client!
25.11.19 - 09:27:52 # 25/11/19 - 09:27:52 - client connected - 192.168.50.146

25.11.19 - 09:27:57 # Network connectivity full - ok
25.11.19 - 09:27:58 # Network connectivity full - ok
25.11.19 - 09:27:59 # Network connectivity full - ok
25.11.19 - 09:28:00 # Network connectivity full - ok
25.11.19 - 09:28:01 # Network connectivity full - ok
25.11.19 - 09:28:02 # Network connectivity full - ok
25.11.19 - 09:28:03 # Network connectivity full - ok
25.11.19 - 09:28:04 # Network connectivity full - ok
25.11.19 - 09:28:05 # Network connectivity full - ok
25.11.19 - 09:28:06 # Network connectivity full - ok
25.11.19 - 09:28:07 # Network connectivity full - ok
25.11.19 - 09:28:08 # Network connectivity full - ok
25.11.19 - 09:28:09 # Network connectivity full - ok
25.11.19 - 09:28:10 # Network connectivity full - ok
25.11.19 - 09:28:11 # Network connectivity full - ok
25.11.19 - 09:28:12 # Network connectivity full - ok
25.11.19 - 09:28:13 # Network connectivity full - ok
25.11.19 - 09:28:14 # Network connectivity full - ok
25.11.19 - 09:28:15 # Network connectivity full - ok
25.11.19 - 09:28:16 # Network connectivity full - ok
25.11.19 - 09:28:17 # Network connectivity full - ok
25.11.19 - 09:28:18 # Network connectivity full - ok
25.11.19 - 09:28:19 # Network connectivity full - ok
25.11.19 - 09:28:20 # Network connectivity full - ok
25.11.19 - 09:28:21 # Network connectivity full - ok
25.11.19 - 09:28:22 # Network connectivity full - ok
25.11.19 - 09:28:23 # Network connectivity full - ok
25.11.19 - 09:28:24 # Network connectivity full - ok
25.11.19 - 09:28:25 # Network connectivity full - ok
25.11.19 - 09:28:26 # Network connectivity full - ok
25.11.19 - 09:28:27 # Network connectivity full - ok
25.11.19 - 09:28:28 # Network connectivity full - ok
25.11.19 - 09:28:29 # Network connectivity full - ok
25.11.19 - 09:28:30 # Network connectivity full - ok
25.11.19 - 09:28:31 # Network connectivity full - ok
25.11.19 - 09:28:32 # Network connectivity full - ok
25.11.19 - 09:28:33 # Network connectivity full - ok
25.11.19 - 09:28:34 # Network connectivity full - ok
25.11.19 - 09:28:35 # Network connectivity full - ok
25.11.19 - 09:28:36 # Network connectivity full - ok
25.11.19 - 09:28:37 # Network connectivity full - ok
25.11.19 - 09:28:38 # Network connectivity full - ok
25.11.19 - 09:28:39 # Network connectivity full - ok
25.11.19 - 09:28:40 # Network connectivity full - ok
25.11.19 - 09:28:41 # Network connectivity full - ok
25.11.19 - 09:28:42 # Network connectivity full - ok
25.11.19 - 09:28:43 # Network connectivity full - ok
25.11.19 - 09:28:44 # Network connectivity full - ok
25.11.19 - 09:28:45 # Network connectivity full - ok
25.11.19 - 09:28:46 # Network connectivity full - ok
25.11.19 - 09:28:47 # Network connectivity full - ok
25.11.19 - 09:28:48 # Network connectivity full - ok
25.11.19 - 09:28:49 # Network connectivity full - ok
25.11.19 - 09:28:50 # Network connectivity full - ok
25.11.19 - 09:28:51 # Network connectivity full - ok
25.11.19 - 09:28:52 # Network connectivity full - ok
25.11.19 - 09:28:53 # Network connectivity full - ok
25.11.19 - 09:28:54 # Network connectivity full - ok
25.11.19 - 09:28:55 # Network connectivity full - ok
25.11.19 - 09:28:56 # Network connectivity full - ok
25.11.19 - 09:28:57 # Network connectivity full - ok
25.11.19 - 09:28:58 # Network connectivity full - ok
25.11.19 - 09:28:59 # Network connectivity full - ok
25.11.19 - 09:29:00 # Network connectivity full - ok
25.11.19 - 09:29:01 # Network connectivity full - ok
25.11.19 - 09:29:02 # Network connectivity full - ok
25.11.19 - 09:29:03 # Network connectivity full - ok
25.11.19 - 09:29:04 # Network connectivity full - ok
25.11.19 - 09:29:05 # Network connectivity full - ok
25.11.19 - 09:29:06 # Network connectivity full - ok
25.11.19 - 09:29:07 # Network connectivity full - ok
25.11.19 - 09:29:08 # Network connectivity full - ok
25.11.19 - 09:29:09 # Network connectivity full - ok
25.11.19 - 09:29:10 # Network connectivity full - ok
25.11.19 - 09:29:11 # Network connectivity full - ok
25.11.19 - 09:29:12 # Network connectivity full - ok
25.11.19 - 09:29:13 # Network connectivity full - ok
25.11.19 - 09:29:14 # Network connectivity full - ok
25.11.19 - 09:29:15 # Network connectivity full - ok
25.11.19 - 09:29:16 # Network connectivity full - ok
25.11.19 - 09:29:17 # Network connectivity full - ok
25.11.19 - 09:29:18 # Network connectivity full - ok
25.11.19 - 09:29:19 # Network connectivity full - ok
25.11.19 - 09:29:20 # Network connectivity full - ok
